stateFIPS,CongressionalDistrict,StateUpper,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
39,12,31,OH,172192.829,0.225,0.024
39,13,18,OH,92770.615,0.131,0.011
39,13,27,OH,2687.633,0.004,0
39,13,28,OH,223246.067,0.316,0.029
39,13,29,OH,27642.947,0.039,0.004
39,13,32,OH,179737.795,0.255,0.029
39,13,33,OH,180011.118,0.255,0.028
39,14,18,OH,226219.111,0.317,0.028
39,14,24,OH,83478.039,0.117,0.011
39,14,25,OH,130561.308,0.183,0.017
39,14,27,OH,127421.728,0.179,0.017
39,14,28,OH,4260.322,0.006,0.001
39,14,32,OH,141376.429,0.198,0.023
39,15,3,OH,36810.139,0.049,0.005
39,15,10,OH,43419,0.058,0.005
39,15,15,OH,26190.011,0.035,0.003
39,15,16,OH,185601.706,0.248,0.023
39,15,17,OH,113405.577,0.151,0.014
39,15,19,OH,10520.133,0.014,0.001
39,15,20,OH,234738.146,0.314,0.029
39,15,30,OH,62129.128,0.083,0.008
39,15,31,OH,35927,0.048,0.005
39,16,18,OH,32680.318,0.045,0.004
39,16,22,OH,115837.615,0.161,0.015
39,16,23,OH,70693.896,0.098,0.009
39,16,24,OH,193199.729,0.269,0.025
39,16,27,OH,174803.45,0.243,0.023
39,16,28,OH,38622.134,0.054,0.005
39,16,29,OH,93148.843,0.13,0.012
40,1,2,OK,16371.211,0.021,0.002
40,1,11,OK,74980.88,0.094,0.009
40,1,12,OK,15239.631,0.019,0.002
40,1,18,OK,58894.427,0.074,0.007
40,1,25,OK,82549.292,0.104,0.011
40,1,29,OK,52087,0.065,0.007
40,1,33,OK,82509.868,0.104,0.013
40,1,34,OK,83207.539,0.104,0.015
40,1,35,OK,82464.05,0.104,0.015
40,1,36,OK,82513.526,0.104,0.017
40,1,37,OK,82864.687,0.104,0.017
40,1,39,OK,82846.573,0.104,0.019
40,2,1,OK,78109.969,0.104,0.01
40,2,2,OK,64772.618,0.086,0.008
40,2,3,OK,77681.177,0.104,0.01
40,2,4,OK,76700.227,0.102,0.009
40,2,5,OK,76267.96,0.102,0.009
40,2,6,OK,81905.403,0.109,0.01
40,2,7,OK,75604.722,0.101,0.009
40,2,8,OK,76010.097,0.101,0.009
40,2,9,OK,77780.903,0.104,0.01
40,2,13,OK,7317.289,0.01,0.001
40,2,14,OK,7369.41,0.01,0.001
40,2,18,OK,22111.335,0.03,0.003
40,2,29,OK,27367.807,0.037,0.004
40,3,10,OK,77801.911,0.1,0.01
40,3,11,OK,7057.306,0.009,0.001
40,3,12,OK,64122.399,0.082,0.008
40,3,19,OK,80784.783,0.104,0.01
40,3,20,OK,83261.046,0.107,0.01
40,3,21,OK,81131,0.104,0.01
40,3,22,OK,49841.902,0.064,0.006
40,3,23,OK,34429.01,0.044,0.004
40,3,26,OK,76916.297,0.099,0.01
40,3,27,OK,79045,0.102,0.01
40,3,28,OK,35129,0.045,0.005
40,3,38,OK,78352.338,0.101,0.016
40,3,44,OK,12627.387,0.016,0.006
40,3,45,OK,18177.718,0.023,0.009
40,4,13,OK,61518.238,0.078,0.007
40,4,14,OK,72471,0.092,0.009
40,4,15,OK,77386.674,0.098,0.009
40,4,16,OK,85839.316,0.109,0.01
40,4,17,OK,6146.021,0.008,0.001
40,4,23,OK,50288.25,0.064,0.006
40,4,24,OK,86001.657,0.109,0.011
40,4,31,OK,75673.133,0.096,0.01
40,4,32,OK,76282.592,0.097,0.012
40,4,42,OK,61336.008,0.078,0.029
40,4,43,OK,81940.383,0.104,0.04
40,4,45,OK,51488.059,0.065,0.025
40,4,48,OK,1469.772,0.002,0.001
40,5,13,OK,10944.528,0.013,0.001
40,5,15,OK,8520.101,0.01,0.001
40,5,17,OK,77178.352,0.095,0.009
40,5,22,OK,39118.375,0.048,0.005
40,5,28,OK,45418.94,0.056,0.006
40,5,30,OK,85968.032,0.106,0.011
40,5,40,OK,85961.495,0.106,0.02
40,5,41,OK,85330.659,0.105,0.041
40,5,42,OK,24457.7,0.03,0.012
40,5,44,OK,73675.989,0.091,0.036
40,5,45,OK,19420.817,0.024,0.01
40,5,46,OK,85058.277,0.105,0.042
40,5,47,OK,85989.823,0.106,0.045
40,5,48,OK,84472.112,0.104,0.047
41,1,5,OR,8625.84,0.01,0.001
41,1,12,OR,83293.995,0.1,0.01
41,1,13,OR,79386.029,0.095,0.01
41,1,14,OR,140303.301,0.169,0.017
41,1,15,OR,142213.215,0.171,0.017
41,1,16,OR,116236.729,0.14,0.014
41,1,17,OR,141864.153,0.17,0.017
41,1,18,OR,90510.316,0.109,0.011
41,1,19,OR,30183.576,0.036,0.004
41,2,1,OR,1419.318,0.002,0
41,2,2,OR,114665.07,0.142,0.014
41,2,3,OR,134932.19,0.167,0.017
41,2,26,OR,23232,0.029,0.003
41,2,27,OR,147553.251,0.182,0.019
41,2,28,OR,131386.793,0.162,0.017
41,2,29,OR,126671.995,0.157,0.017
41,2,30,OR,129469.72,0.16,0.017
41,3,9,OR,4126.289,0.005,0.001
41,3,14,OR,1952.283,0.002,0
41,3,18,OR,48316.554,0.058,0.006
41,3,19,OR,28417.408,0.034,0.004
41,3,20,OR,39173.7,0.047,0.005
41,3,21,OR,94704.752,0.114,0.012
41,3,22,OR,139470.218,0.167,0.018
41,3,23,OR,137312.374,0.165,0.018
41,3,24,OR,101432.382,0.122,0.013
41,3,25,OR,137470.08,0.165,0.018
41,3,26,OR,100769.331,0.121,0.013
41,4,1,OR,127447.585,0.16,0.016
41,4,2,OR,20879.596,0.026,0.003
41,4,4,OR,131895.851,0.166,0.016
41,4,5,OR,63919.813,0.08,0.008
41,4,6,OR,132646.721,0.167,0.016
41,4,7,OR,133964.624,0.168,0.016
41,4,8,OR,124087.721,0.156,0.015
41,4,9,OR,50224.342,0.063,0.006
41,4,12,OR,11472.497,0.014,0.001
41,5,5,OR,58998.128,0.072,0.007
41,5,8,OR,8897.87,0.011,0.001
41,5,9,OR,81607.054,0.099,0.01
41,5,10,OR,137934.127,0.168,0.017
41,5,11,OR,137630.019,0.167,0.017
41,5,12,OR,41963.82,0.051,0.005
41,5,13,OR,60505.017,0.074,0.007
41,5,16,OR,18039.188,0.022,0.002
41,5,18,OR,2282.178,0.003,0
41,5,19,OR,82220.807,0.1,0.01
41,5,20,OR,100012.119,0.122,0.012
41,5,21,OR,43448.675,0.053,0.005
41,5,24,OR,35746.216,0.043,0.005
41,5,26,OR,12548.173,0.015,0.002
42,1,6,PA,254144.582,0.358,0.031
42,1,10,PA,250789.422,0.354,0.031
42,1,12,PA,137301.016,0.194,0.017
42,1,24,PA,66799.39,0.094,0.009
42,2,1,PA,53527.309,0.074,0.007
42,2,2,PA,263364.473,0.363,0.033
42,2,3,PA,137795.475,0.19,0.017
42,2,5,PA,270361.305,0.373,0.033
42,3,1,PA,145715.971,0.201,0.018
42,3,3,PA,113238.75,0.156,0.014
42,3,4,PA,142572.02,0.197,0.018
42,3,7,PA,199057.315,0.275,0.024
42,3,8,PA,124464.505,0.172,0.015
42,4,4,PA,121722.807,0.168,0.015
42,4,7,PA,52137.418,0.072,0.006
42,4,12,PA,115048.321,0.159,0.014
42,4,17,PA,151643.445,0.209,0.019
42,4,24,PA,165626.551,0.229,0.021
42,4,44,PA,118435.848,0.163,0.057
42,5,1,PA,64303.048,0.09,0.008
42,5,8,PA,125576.89,0.176,0.015
42,5,9,PA,170894.612,0.239,0.021
42,5,17,PA,113610.521,0.159,0.014
42,5,26,PA,239747.14,0.336,0.031
42,6,9,PA,91154.549,0.126,0.011
42,6,11,PA,173565.071,0.239,0.021
42,6,19,PA,273359.119,0.377,0.034
42,6,26,PA,21706.618,0.03,0.003
42,6,29,PA,31399.091,0.043,0.004
42,6,44,PA,133623.406,0.184,0.065
42,7,16,PA,273172.013,0.378,0.033
42,7,18,PA,269226.339,0.373,0.033
42,7,40,PA,180210.044,0.249,0.042
42,8,14,PA,189105.384,0.273,0.023
42,8,20,PA,160474.073,0.232,0.02
42,8,22,PA,252521.796,0.365,0.032
42,8,27,PA,9090.695,0.013,0.001
42,8,40,PA,81193.818,0.117,0.019
42,9,11,PA,84744.478,0.12,0.01
42,9,14,PA,70496.067,0.1,0.009
42,9,20,PA,25005.573,0.036,0.003
42,9,24,PA,18787.634,0.027,0.002
42,9,27,PA,138094.739,0.196,0.018
42,9,29,PA,215190.835,0.306,0.028
42,9,44,PA,12686.064,0.018,0.006
42,9,48,PA,138863,0.197,0.078
42,10,15,PA,212840.117,0.293,0.026
42,10,28,PA,124790.886,0.172,0.016
42,10,30,PA,9833.366,0.014,0.001
42,10,31,PA,254314.934,0.35,0.035
42,10,48,PA,125041.497,0.172,0.07
42,11,13,PA,269630.981,0.37,0.032
42,11,28,PA,142929.451,0.196,0.018
42,11,31,PA,7645.13,0.01,0.001
42,11,33,PA,39424.347,0.054,0.006
42,11,36,PA,268869.019,0.369,0.054
42,12,15,PA,45820,0.065,0.006
42,12,20,PA,54360.838,0.077,0.007
42,12,23,PA,241742.162,0.344,0.031
42,12,25,PA,97585,0.139,0.013
42,12,27,PA,98290.461,0.14,0.013
42,12,34,PA,164754.299,0.235,0.03
42,13,30,PA,235622.363,0.336,0.031
42,13,31,PA,5702.613,0.008,0.001
42,13,32,PA,75061,0.107,0.012
42,13,33,PA,230242.554,0.328,0.036
42,13,34,PA,18524.742,0.026,0.003
42,13,35,PA,95372.752,0.136,0.018
42,13,39,PA,41460.317,0.059,0.01
42,14,32,PA,169581.316,0.245,0.027
42,14,37,PA,21229.434,0.031,0.004
42,14,39,PA,196195.988,0.284,0.045
42,14,41,PA,36302.234,0.052,0.017
42,14,45,PA,44651.145,0.065,0.022
42,14,46,PA,223948.566,0.324,0.11
42,15,21,PA,134551.927,0.196,0.017
42,15,25,PA,142972.303,0.208,0.018
42,15,34,PA,67914.701,0.099,0.012
42,15,35,PA,146420.945,0.213,0.027
42,15,41,PA,191226.082,0.278,0.091
42,15,50,PA,3889.073,0.006,0.003
42,16,21,PA,104414.082,0.151,0.013
42,16,41,PA,11247.689,0.016,0.005
42,16,47,PA,102330.213,0.148,0.054
42,16,49,PA,240281.956,0.347,0.141
42,16,50,PA,235095.044,0.339,0.158
42,17,21,PA,17772.934,0.025,0.002
42,17,37,PA,128805.018,0.183,0.027
42,17,38,PA,235232.202,0.334,0.049
42,17,42,PA,107565.056,0.153,0.051
42,17,43,PA,46911.218,0.067,0.023
42,17,46,PA,28303.266,0.04,0.014
42,17,47,PA,139125.734,0.198,0.073
42,18,37,PA,113930.534,0.161,0.024
42,18,38,PA,20073.041,0.028,0.004
42,18,42,PA,154639.543,0.219,0.074
42,18,43,PA,205782.727,0.291,0.101
42,18,45,PA,212425.661,0.301,0.104
44,1,1,RI,16300.218,0.031,0.002
44,1,2,RI,24424.036,0.046,0.003
44,1,3,RI,28715.483,0.054,0.004
44,1,4,RI,20117.422,0.038,0.002
44,1,6,RI,20297.412,0.038,0.002
44,1,7,RI,4864.786,0.009,0.001
44,1,8,RI,27445.442,0.052,0.003
44,1,10,RI,26703.463,0.05,0.003
