StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
49,3,8,49,UT,2411.174,0.003,1
49,3,9,32,UT,25107.143,0.032,0.142
49,3,9,45,UT,22190.646,0.029,0.557
49,3,9,46,UT,503.145,0.001,1
49,3,9,49,UT,37875.259,0.049,0.97
49,3,11,6,UT,4451.152,0.006,1
49,3,11,27,UT,2025.715,0.003,0.008
49,3,11,32,UT,5733.89,0.007,0.073
49,3,11,51,UT,31671.984,0.041,0.79
49,3,13,6,UT,5378.762,0.007,0.142
49,3,13,27,UT,4030.345,0.005,0.022
49,3,13,56,UT,15695.985,0.02,0.114
49,3,14,27,UT,36187.106,0.047,0.085
49,3,14,48,UT,11588.818,0.015,0.04
49,3,14,56,UT,25163.569,0.032,0.7
49,3,14,57,UT,33587.735,0.043,1
49,3,14,59,UT,1179.865,0.002,0.903
49,3,15,57,UT,8772.736,0.011,0.317
49,3,15,59,UT,40771.265,0.052,0.546
49,3,15,60,UT,31925.146,0.041,0.365
49,3,15,61,UT,27790.459,0.036,0.294
49,3,16,27,UT,142.18,0,0.004
49,3,16,48,UT,30843.89,0.04,0.238
49,3,16,54,UT,1075.551,0.001,1
49,3,16,60,UT,10139.499,0.013,0.878
49,3,16,61,UT,3926.003,0.005,0.145
49,3,16,63,UT,42258.422,0.054,0.303
49,3,16,64,UT,21018.563,0.027,0.118
49,3,24,67,UT,753.325,0.001,0.006
49,3,26,54,UT,25182.681,0.032,0.216
49,3,27,54,UT,4269.768,0.005,0.018
49,3,27,64,UT,8705.086,0.011,0.705
49,3,27,65,UT,32186.574,0.041,0.571
49,3,27,69,UT,24724.788,0.032,0.912
49,3,27,70,UT,15469.212,0.02,0.253
49,3,27,73,UT,16895,0.022,0.2
49,4,1,26,UT,1680.416,0.002,0.122
49,4,1,31,UT,10702.173,0.014,0.284
49,4,1,33,UT,9603.313,0.013,1
49,4,3,25,UT,1449.536,0.002,0.123
49,4,3,26,UT,2476.518,0.003,1
49,4,3,31,UT,2419.887,0.003,1
49,4,3,33,UT,12227.943,0.016,1
49,4,3,34,UT,2650.767,0.004,1
49,4,3,35,UT,37111.829,0.049,1
49,4,3,37,UT,3838.929,0.005,1
49,4,3,40,UT,25627.713,0.034,0.994
49,4,3,44,UT,5626.074,0.007,0.403
49,4,4,36,UT,33507.047,0.044,0.66
49,4,4,37,UT,3850.909,0.005,0.129
49,4,4,40,UT,13045.826,0.017,0.9
49,4,5,30,UT,15297.998,0.02,0.609
49,4,5,33,UT,18327.757,0.024,0.186
49,4,5,34,UT,24305.596,0.032,1
49,4,5,38,UT,26018.684,0.034,0.599
49,4,5,39,UT,8355.253,0.011,0.07
49,4,6,34,UT,11336.005,0.015,0.138
49,4,6,39,UT,30266.01,0.04,1
49,4,6,42,UT,1695.663,0.002,0.009
49,4,6,43,UT,27868.994,0.037,0.62
49,4,6,47,UT,32652.137,0.043,1
49,4,7,64,UT,1111.068,0.001,0.028
49,4,7,66,UT,2281.76,0.003,0.054
49,4,7,67,UT,6825.787,0.009,0.145
49,4,8,34,UT,1840.508,0.002,0.055
49,4,8,35,UT,3051.54,0.004,0.027
49,4,8,37,UT,13310.467,0.018,0.435
49,4,8,44,UT,33690.009,0.045,0.777
49,4,8,46,UT,7168.18,0.009,0.166
49,4,8,47,UT,3449.047,0.005,1
49,4,9,32,UT,9278.774,0.012,0.053
49,4,9,44,UT,812.437,0.001,0.058
49,4,9,45,UT,8174.469,0.011,0.205
49,4,10,38,UT,2341.475,0.003,0.041
49,4,10,42,UT,34477.398,0.046,0.316
49,4,10,43,UT,533.638,0.001,0.015
49,4,10,45,UT,1850.31,0.002,1
49,4,10,47,UT,4045.85,0.005,1
49,4,10,50,UT,39888.927,0.053,1
49,4,10,52,UT,20501.517,0.027,0.804
49,4,11,41,UT,40125.252,0.053,0.504
49,4,11,50,UT,222.168,0,0.005
49,4,11,51,UT,8434.754,0.011,0.21
49,4,11,52,UT,11524.412,0.015,1
49,4,12,22,UT,899.562,0.001,0.006
49,4,12,38,UT,7040.76,0.009,0.058
49,4,12,39,UT,1520.325,0.002,0.077
49,4,12,42,UT,3966.349,0.005,1
49,4,12,43,UT,11736.778,0.016,0.242
49,4,13,2,UT,42249.249,0.056,0.732
49,4,13,6,UT,32423.923,0.043,0.858
49,4,13,52,UT,8096.057,0.011,0.345
49,4,13,67,UT,1155.786,0.002,0.023
49,4,14,56,UT,1295.673,0.002,0.036
49,4,14,59,UT,127.274,0,0.097
49,4,24,58,UT,22087.169,0.029,0.307
49,4,24,67,UT,6539.134,0.009,0.051
49,4,24,68,UT,743.005,0.001,0.003
50,0,ADD,A-1,VT,8527.842,0.014,1
50,0,ADD,A-2,VT,4512.85,0.007,1
50,0,ADD,A-3,VT,7926.597,0.013,1
50,0,ADD,A-4,VT,8955.438,0.014,1
50,0,ADD,A-5,VT,3792.159,0.006,1
50,0,ADD,A-R,VT,2944.996,0.005,1
50,0,ADD,OWA,VT,299.117,0,1
50,0,ADD,WAC,VT,2030.681,0.003,1
50,0,BEN,B-1,VT,3851.6,0.006,1
50,0,BEN,B-3,VT,3743.392,0.006,1
50,0,BEN,B-4,VT,7630.086,0.012,1
50,0,BEN,B-R,VT,2499.494,0.004,1
50,0,BEN,B21,VT,7795.809,0.012,1
50,0,BEN,B22,VT,7571.596,0.012,1
50,0,BEN,R-B,VT,696.037,0.001,1
50,0,BEN,W-6,VT,1818.346,0.003,1
50,0,BEN,WBW,VT,749.653,0.001,1
50,0,BEN,WIB,VT,1653.332,0.003,1
50,0,CAL,CA1,VT,4042.846,0.006,1
50,0,CAL,CA2,VT,4041.874,0.006,1
50,0,CAL,CA3,VT,7385.333,0.012,1
50,0,CAL,CA4,VT,8512.123,0.014,1
50,0,CAL,CAW,VT,2844.174,0.005,1
50,0,CAL,E-C,VT,478.886,0.001,1
50,0,CAL,ECO,VT,564.367,0.001,1
50,0,CAL,O-C,VT,4379.75,0.007,1
50,0,CAL,OLC,VT,1470.656,0.002,1
50,0,CAL,OR1,VT,1071.37,0.002,1
50,0,CAL,OR2,VT,4423.4,0.007,1
50,0,CGI,C91,VT,9299.035,0.015,1
50,0,CGI,C92,VT,8311.554,0.013,1
50,0,CGI,GIC,VT,4935.62,0.008,1
50,0,CHI,C-1,VT,4210.981,0.007,1
50,0,CHI,C-2,VT,8975.034,0.014,1
50,0,CHI,C-3,VT,8280.598,0.013,1
50,0,CHI,C10,VT,9326.895,0.015,1
50,0,CHI,C41,VT,3907.617,0.006,1
50,0,CHI,C42,VT,4501.963,0.007,1
50,0,CHI,C51,VT,3965.401,0.006,1
50,0,CHI,C52,VT,4101.605,0.007,1
50,0,CHI,C61,VT,8519.988,0.014,1
50,0,CHI,C62,VT,4002.547,0.006,1
50,0,CHI,C63,VT,8784.141,0.014,1
50,0,CHI,C64,VT,10015.139,0.016,1
50,0,CHI,C65,VT,8897.645,0.014,1
50,0,CHI,C66,VT,3274.061,0.005,1
50,0,CHI,C67,VT,7772.928,0.012,1
50,0,CHI,C71,VT,4677.377,0.007,1
50,0,CHI,C72,VT,4435.924,0.007,1
