StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
28,100,1,MS,2800100,175611,1,0.231
28,200,1,MS,2800200,120051,1,0.158
28,300,1,MS,2800300,105580,1,0.139
28,400,1,MS,2800400,145242,1,0.191
28,500,1,MS,2800500,28201,0.272,0.037
28,500,2,MS,2800500,75556,0.728,0.106
28,600,2,MS,2800600,79968,1,0.112
28,700,2,MS,2800700,89425,1,0.125
28,800,1,MS,2800800,32619,0.342,0.043
28,800,2,MS,2800800,62867,0.658,0.088
28,900,1,MS,2800900,58560.359,0.557,0.077
28,900,3,MS,2800900,46528.641,0.443,0.062
28,1000,1,MS,2801000,95475,0.896,0.125
28,1000,3,MS,2801000,11038,0.104,0.015
28,1100,3,MS,2801100,123161.801,0.985,0.165
28,1100,4,MS,2801100,1935.199,0.015,0.003
28,1200,2,MS,2801200,22620,0.201,0.032
28,1200,3,MS,2801200,90097,0.799,0.121
28,1300,3,MS,2801300,150228,1,0.201
28,1400,2,MS,2801400,136298.294,0.819,0.191
28,1400,3,MS,2801400,30131.374,0.181,0.04
28,1500,2,MS,2801500,104546.098,0.581,0.146
28,1500,3,MS,2801500,75367.234,0.419,0.101
28,1600,2,MS,2801600,98249,1,0.138
28,1700,2,MS,2801700,44918,0.299,0.063
28,1700,3,MS,2801700,105138,0.701,0.141
28,1800,4,MS,2801800,114086,1,0.149
28,1900,4,MS,2801900,136893,1,0.179
28,2000,3,MS,2802000,114801,0.82,0.154
28,2000,4,MS,2802000,25251,0.18,0.033
28,2100,4,MS,2802100,143808,1,0.188
28,2200,4,MS,2802200,203234,1,0.265
28,2300,4,MS,2802300,141241,1,0.184
29,100,6,MO,Northwest,108635,1,0.142
29,200,6,MO,St. Joseph Area,106288,1,0.139
29,300,6,MO,Northeast,100007,1,0.131
29,400,3,MO,Hannibal Area,11620,0.113,0.015
29,400,4,MO,Hannibal Area,24989,0.243,0.033
29,400,6,MO,Hannibal Area,66114,0.644,0.087
29,500,3,MO,Outer Boone,121648.494,0.635,0.157
29,500,4,MO,Outer Boone,63362.103,0.331,0.083
29,500,6,MO,Outer Boone,6446.897,0.034,0.008
29,600,4,MO,Boone County,176594,1,0.231
29,700,4,MO,North Central,96155,0.709,0.126
29,700,5,MO,North Central,22980,0.17,0.03
29,700,6,MO,North Central,16429,0.121,0.022
29,800,5,MO,Clay/Platte/Clinton,33869.989,0.18,0.044
29,800,6,MO,Clay/Platte/Clinton,153879.847,0.82,0.201
29,901,5,MO,Eastern Jackson/Lafayette/Ray,151260.443,0.751,0.197
29,901,6,MO,Eastern Jackson/Lafayette/Ray,50175.629,0.249,0.066
29,902,4,MO,Southern Jackson/Cass County,102662.882,0.471,0.134
29,902,5,MO,Southern Jackson/Cass County,89005.918,0.408,0.116
29,902,6,MO,Southern Jackson/Cass County,26240.204,0.12,0.034
29,1001,5,MO,Kansas City Metro North,45557.133,0.268,0.059
29,1001,6,MO,Kansas City Metro North,124697.03,0.732,0.163
29,1002,5,MO,Kansas City - Central Bus District,99936.685,1,0.13
29,1003,5,MO,Kansas City - Midtown,106142.964,1,0.138
29,1004,4,MO,South Blue Valley (Martin City),203.668,0.002,0
29,1004,5,MO,South Blue Valley (Martin City),104376.925,0.998,0.136
29,1100,5,MO,Independence,114829.496,0.957,0.15
29,1100,6,MO,Independence,5183.187,0.043,0.007
29,1200,4,MO,"West S. Central (Bates, Henry, etc)",138486,0.816,0.181
29,1200,7,MO,"West S. Central (Bates, Henry, etc)",31285,0.184,0.04
29,1300,3,MO,Lake of the Ozarks,52228.609,0.293,0.067
29,1300,4,MO,Lake of the Ozarks,125831.391,0.707,0.164
29,1400,3,MO,Rolla Area,37390.506,0.255,0.048
29,1400,8,MO,Rolla Area,109136,0.745,0.147
29,1500,3,MO,St. Louis Outer Metro,191907,1,0.247
29,1601,2,MO,St. Charles Co. West,84571.932,0.366,0.111
29,1601,3,MO,St. Charles Co. West,146708.25,0.634,0.189
29,1602,2,MO,St. Charles Co. East,61692.789,0.386,0.081
29,1602,3,MO,St. Charles Co. East,97945.029,0.614,0.126
29,1701,1,MO,St. Louis County Northeast,123541.829,1,0.167
29,1702,1,MO,St. Louis County Northwest,121446.636,0.966,0.164
29,1702,2,MO,St. Louis County Northwest,4223.422,0.034,0.006
29,1703,1,MO,St. Louis County- Inner Ring North,110031.9,0.985,0.149
29,1703,2,MO,St. Louis County- Inner Ring North,1671.376,0.015,0.002
29,1704,1,MO,Far West St. Louis County,10278.161,0.092,0.014
29,1704,2,MO,Far West St. Louis County,101484.093,0.908,0.133
29,1705,1,MO,St. Louis County- West Central,50628.089,0.43,0.068
29,1705,2,MO,St. Louis County- West Central,67220.891,0.57,0.088
29,1706,2,MO,St. Louis County- West Outer Suburbs,114019.41,1,0.15
29,1707,1,MO,St. Louis County -Inner Ring South,13235.056,0.084,0.018
29,1707,2,MO,St. Louis County -Inner Ring South,145264.739,0.916,0.191
29,1708,2,MO,St. Louis County South- Outer Suburbs,135646.137,1,0.178
29,1801,1,MO,St. Louis City North,89719.782,1,0.121
29,1802,1,MO,St. Louis City Central,99884.32,1,0.135
29,1803,1,MO,St. Louis City South,121801.922,1,0.164
29,1900,2,MO,Jefferson County,45100.863,0.201,0.059
29,1900,3,MO,Jefferson County,116999.2,0.522,0.151
29,1900,8,MO,Jefferson County,62013.174,0.277,0.083
29,2000,8,MO,Cape Girardeau - Ste. Genevieve,217372,1,0.292
29,2100,8,MO,Bootheel,118067,1,0.159
29,2200,8,MO,Poplar Bluff Area,111906,1,0.15
29,2300,8,MO,West Plains Area,125823,1,0.169
29,2400,4,MO,Springfield Suburban,29502.098,0.12,0.039
29,2400,7,MO,Springfield Suburban,217263.518,0.88,0.281
29,2500,7,MO,Springfield City,164434.561,1,0.213
29,2600,4,MO,Branson Area,7631,0.04,0.01
29,2600,7,MO,Branson Area,182511.822,0.96,0.236
29,2700,7,MO,Joplin Area,177805,1,0.23
30,100,0,MT,3000100,158633,1,0.152
30,200,0,MT,3000200,145817,1,0.14
30,300,0,MT,3000300,138717,1,0.133
30,400,0,MT,3000400,158437,1,0.152
30,500,0,MT,3000500,139768,1,0.134
30,600,0,MT,3000600,138746,1,0.133
30,700,0,MT,3000700,162402,1,0.156
31,100,3,NE,3100100,109394,1,0.181
31,200,1,NE,3100200,107313.696,0.589,0.167
31,200,3,NE,3100200,74967.829,0.411,0.124
31,300,3,NE,3100300,109454,1,0.181
31,400,3,NE,3100400,103496,1,0.171
31,500,3,NE,3100500,117403,1,0.194
